cd_acao_rdz;nm_empresa;setor_economico;subsetor;segmento;segmento_b3;cd_acao;cnpj
BMOB;BEMOBI TECH;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;BMOB3;09.042.817/0001-05
SOJA;BOA SAFRA;CONSUMO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;NM;SOJA3;10.807.374/0001-77
BRBI;BR PARTNERS;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;N2;BRBI11;10.739.356/0001-03
BRIT;BRISANET;COMUNICAÇÕES;TELECOMUNICAÇÕES;TELECOMUNICAÇÕES;NM;BRIT3;19.796.586/0001-70
CLSA;CLEARSALE;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;SERVIÇOS FINANCEIROS DIVERSOS;NM;CLSA3;03.802.115/0001-98
CBAV;CBA;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;NM;CBAV3;61.409.892/0001-73
GRAO;AGRIBRASIL;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;MA;GRAO3;18.483.666/0001-03
IFCM;INFRACOMM;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;IFCM3;38.456.921/0001-36
INTB;INTELBRAS;TECNOLOGIA DA INFORMAÇÃO;COMPUTADORES E EQUIPAMENTOS;COMPUTADORES E EQUIPAMENTOS;NM;INTB3;82.901.000/0001-27
JALL;JALLESMACHAD;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;AÇUCAR E ALCOOL;NM;JALL3;02.635.522/0001-95
KLAS;KALLAS;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;;KLAS3;09.146.451/0001-06
KRSA;KORA SAUDE;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NM;KRSA3;13.270.520/0001-66
LVTC;WDC NETWORKS;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;LVTC3;05.917.486/0001-40
LLBI;LE BISCUIT;CONSUMO CÍCLICO;COMÉRCIO;PRODUTOS DIVERSOS;;LLBI3, LLBI4;16.233.389/0001-55
MBLY;MOBLY;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;MBLY3;31.553.627/0001-01
MOSI;MOSAICO;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;MOSI3;09.083.175/0001-84
ESPA;ESPACOLASER;CONSUMO CÍCLICO;COMÉRCIO;PRODUTOS DIVERSOS;NM;ESPA3;26.659.061/0001-59
MLAS;MULTILASER;TECNOLOGIA DA INFORMAÇÃO;COMPUTADORES E EQUIPAMENTOS;COMPUTADORES E EQUIPAMENTOS;NM;MLAS3;59.717.553/0001-02
OPCT;OCEANPACT;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EQUIPAMENTOS E SERVIÇOS;NM;OPCT3;09.114.805/0001-30
ONCO;ONCOCLINICAS;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NM;ONCO3;12.104.241/0004-02
ORVR;ORIZON;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;NM;ORVR3;11.421.994/0001-36
RECV;PETRORECSA;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;NM;RECV3;03.342.704/0001-30
RAIZ;RAIZEN;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;N2;RAIZ4;33.453.598/0001-23
RBNS;RODOBENS;BENS INDUSTRIAIS;COMÉRCIO;MATERIAL DE TRANSPORTE;;RBNS11;59.981.829/0001-65
TRAD;TC;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;TRAD3;26.345.998/0001-50
TEGA;TEGRA INCORP;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;;TEGA3;30.213.493/0001-09
LAND;TERRASANTAPA;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;NM;LAND3;40.337.136/0001-06
TTEN;3TENTOS;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;NM;TTEN3;94.813.102/0001-70
FIQE;UNIFIQUE;COMUNICAÇÕES;TELECOMUNICAÇÕES;TELECOMUNICAÇÕES;NM;FIQE3;02.255.187/0001-08
WEST;WESTWING;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;WEST3;14.776.142/0001-50
